"Mid Depth z(i) (cm)","Dry Weight (g)","Dry Weight Uncertainty (g)","Interval Thickness (cm)","Ideal Volume (cm^3)","Ideal Volume Uncertainty (cm^3)","Porosity","Porosity Uncertainty","Dry Bulk Density (g/cm^3)","Dry Bulk Density Uncertainty (g/cm^3)"
0.5,18.744,0.01,1,78.5398163397448,1.5707963267949,0.909941124428242,0.0185262888825861,0.238656020265159,0.00477481829946484
1.5,14.804,0.01,1,78.5398163397448,1.5707963267949,0.928871553885814,0.0189156255741945,0.188490382202593,0.00377195719256392
2.5,15.814,0.01,1,78.5398163397448,1.5707963267949,0.924018829583238,0.0188155241121333,0.201350101604419,0.00402901436530408
3.5,18.244,0.01,1,78.5398163397448,1.5707963267949,0.912343463191893,0.0185755545390258,0.232289822541483,0.00464754086070518
4.5,18.764,0.01,1,78.5398163397448,1.5707963267949,0.909845030877696,0.0185243188797162,0.238910668174106,0.00477990944855045
5.5,19.304,0.01,1,78.5398163397448,1.5707963267949,0.907250505012953,0.018471145604316,0.245786161715676,0.00491737189012103
6.5,22.104,0.01,1,78.5398163397448,1.5707963267949,0.893797407936506,0.0181958497220259,0.28143686896826,0.00563017725078402
7.5,22.004,0.01,1,78.5398163397448,1.5707963267949,0.894277875689236,0.0182056719952199,0.280163629423525,0.00560471900188473
8.5,22.674,0.01,1,78.5398163397448,1.5707963267949,0.891058741745943,0.0181398738187666,0.288694334373251,0.0057752903709743
9.5,23.234,0.01,1,78.5398163397448,1.5707963267949,0.888368122330654,0.0180848969745689,0.295824475823768,0.00591785937547907
10.5,24.314,0.01,1,78.5398163397448,1.5707963267949,0.883179070601167,0.0179789121313529,0.309575462906907,0.00619281828273632
11.5,25.244,0.01,1,78.5398163397448,1.5707963267949,0.878710720500776,0.0178876857058665,0.321416590672944,0.00642959262265584
12.5,17.324,0.01,1,78.5398163397448,1.5707963267949,0.916763766517012,0.0186662905586065,0.220576018729919,0.0044133573846766
13.5,26.484,0.01,1,78.5398163397448,1.5707963267949,0.872752920366921,0.0177660966929886,0.33720476102766,0.00674529700852908
14.5,25.714,0.01,1,78.5398163397448,1.5707963267949,0.876452522062944,0.0178415937853974,0.3274008165332,0.00654925409921047
15.5,29.504,0.01,1,78.5398163397448,1.5707963267949,0.858242794234467,0.0174701391478229,0.375656595278662,0.00751421069839843
16.5,24.704,0.01,1,78.5398163397448,1.5707963267949,0.881305246365519,0.0179406519174309,0.314541097131375,0.0062921103060282
17.5,34.154,0.01,1,78.5398163397448,1.5707963267949,0.83590104373251,0.0170147584536244,0.434862234108847,0.00869817661645462
18.5,29.164,0.01,1,78.5398163397448,1.5707963267949,0.85987638459375,0.0175034489391651,0.371327580826563,0.00742764298431109
19.5,29.264,0.01,1,78.5398163397448,1.5707963267949,0.85939591684102,0.0174936517133509,0.372600820371298,0.00745310404636407
20.5,31.324,0.01,1,78.5398163397448,1.5707963267949,0.849498281134777,0.0172918679349798,0.398829554992842,0.00797760722044513
21.5,30.604,0.01,1,78.5398163397448,1.5707963267949,0.852957648954434,0.0173623863667587,0.389662230270749,0.0077942846284449
22.5,33.024,0.01,1,78.5398163397448,1.5707963267949,0.841330329338362,0.0171253948329442,0.42047462725334,0.00841045636424783
23.5,33.234,0.01,1,78.5398163397448,1.5707963267949,0.840321347057629,0.0171048330157722,0.423148430297284,0.00846392633560837
24.5,36.184,0.01,1,78.5398163397448,1.5707963267949,0.826147548352086,0.0168160364133367,0.460708996866971,0.0092150595932447
25.5,34.424,0.01,1,78.5398163397448,1.5707963267949,0.834603780800139,0.0169883252165599,0.438299980879632,0.0087669242431435
26.5,36.204,0.01,1,78.5398163397448,1.5707963267949,0.82605145480154,0.0168140787401886,0.460963644775918,0.00922015206552594
27.5,39.014,0.01,1,78.5398163397448,1.5707963267949,0.81255031094982,0.0165390547420119,0.496741675982976,0.00993564937247351
28.5,37.824,0.01,1,78.5398163397448,1.5707963267949,0.81826787720731,0.0166555173421309,0.481590125400628,0.00963264402657649
29.5,48.444,0.01,1,78.5398163397448,1.5707963267949,0.767242201867358,0.015616395717633,0.616808165051502,0.0123368203512519
